,Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange
27,Chemplast Sanmar Limited IPO,"Aug 10, 2021","Aug 12, 2021",541,3850,27,"BSE, NSE"
28,Aptus Value Housing Finance India Ltd IPO,"Aug 10, 2021","Aug 12, 2021",353,2780.05,42,"BSE, NSE"
29,CarTrade Tech Limited IPO,"Aug 09, 2021","Aug 11, 2021",1618,2998.51,9,"BSE, NSE"
30,Nuvoco Vistas Corporation Ltd IPO,"Aug 09, 2021","Aug 11, 2021",570,5000,26,"BSE, NSE"
31,Krsnaa Diagnostics Limited IPO,"Aug 04, 2021","Aug 06, 2021",954,1213.33,15,"BSE, NSE"
32,Devyani International Limited IPO,"Aug 04, 2021","Aug 06, 2021",90,1838,165,"BSE, NSE"
33,Windlas Biotech Limited IPO,"Aug 04, 2021","Aug 06, 2021",460,401.54,30,"BSE, NSE"
34,Exxaro Tiles Limited IPO,"Aug 04, 2021","Aug 06, 2021",120,161.09,125,"BSE, NSE"
35,Rolex Rings Limited IPO,"Jul 28, 2021","Jul 30, 2021",900,731,16,"BSE, NSE"
36,Glenmark Life Sciences Limited IPO,"Jul 27, 2021","Jul 29, 2021",720,1513.6,20,"BSE, NSE"
37,Tatva Chintan Pharma Chem Ltd IPO,"Jul 16, 2021","Jul 20, 2021",1083,500,13,"BSE, NSE"
38,Zomato Limited IPO,"Jul 14, 2021","Jul 16, 2021",76,9375,195,"BSE, NSE"
39,Clean Science and Technology Ltd IPO,"Jul 07, 2021","Jul 09, 2021",900,1546.62,16,"BSE, NSE"
40,G R Infraprojects Limited IPO,"Jul 07, 2021","Jul 09, 2021",837,963.28,17,"BSE, NSE"
41,India Pesticides Limited IPO,"Jun 23, 2021","Jun 25, 2021",296,800,50,"BSE, NSE"
42,Krishna Institute of Medical Sciences Limited IPO,"Jun 16, 2021","Jun 18, 2021",825,2143.74,18,"BSE, NSE"
43,Dodla Dairy Limited IPO,"Jun 16, 2021","Jun 18, 2021",428,520.18,35,"BSE, NSE"
44,Sona BLW Precision Forgings Limited IPO,"Jun 14, 2021","Jun 16, 2021",291,5550,51,"BSE, NSE"
45,Shyam Metalics and Energy Limited IPO,"Jun 14, 2021","Jun 16, 2021",306,909,45,"BSE, NSE"
46,POWERGRID Infrastructure Investment Trust InvIT,"Apr 29, 2021","May 03, 2021",100,7734.99,"1,100","BSE, NSE"
47,Macrotech Developers Limited IPO,"Apr 07, 2021","Apr 09, 2021",486,2500,30,"BSE, NSE"
48,Barbeque Nation Hospitality Limited IPO,"Mar 24, 2021","Mar 26, 2021",500,452.87,30,"BSE, NSE"
49,Suryoday Small Finance Bank Ltd IPO,"Mar 17, 2021","Mar 19, 2021",305,582.34,49,"BSE, NSE"
50,Nazara Technologies Limited IPO,"Mar 17, 2021","Mar 19, 2021",1101,582.91,13,"BSE, NSE"
51,Kalyan Jewellers India Limited IPO,"Mar 16, 2021","Mar 18, 2021",87,1175,172,"BSE, NSE"
52,Laxmi Organic Industries Limited IPO,"Mar 15, 2021","Mar 17, 2021",130,600,115,"BSE, NSE"
53,Craftsman Automation Limited IPO,"Mar 15, 2021","Mar 17, 2021",1490,823.7,10,"BSE, NSE"
54,Anupam Rasayan India Limited IPO,"Mar 12, 2021","Mar 16, 2021",555,760,27,"BSE, NSE"
55,Easy Trip Planners Limited IPO,"Mar 08, 2021","Mar 10, 2021",187,510,80,"BSE, NSE"
56,MTAR Technologies Limited IPO,"Mar 03, 2021","Mar 05, 2021",575,596.41,26,"BSE, NSE"
57,Heranba Industries Limited IPO,"Feb 23, 2021","Feb 25, 2021",627,625.24,23,"BSE, NSE"
58,RailTel Corporation of India Limited IPO,"Feb 16, 2021","Feb 18, 2021",94,819.24,155,"BSE, NSE"
59,Nureca Limited IPO,"Feb 15, 2021","Feb 17, 2021",400,100,35,"BSE, NSE"
60,Brookfield India Real Estate Trust REIT,"Feb 03, 2021","Feb 05, 2021",275,3800,200,"BSE, NSE"
61,Stove Kraft Limited IPO,"Jan 25, 2021","Jan 28, 2021",385,412.63,38,"BSE, NSE"
62,Home First Finance Company India Ltd. IPO,"Jan 21, 2021","Jan 25, 2021",518,1153.72,28,"BSE, NSE"
63,Indigo Paints Limited IPO,"Jan 20, 2021","Jan 22, 2021",1490,1176,10,"BSE, NSE"
64,Indian Railway Finance Corporation Limited IPO,"Jan 18, 2021","Jan 20, 2021",26,4633.38,575,"BSE, NSE"
